lead_id,deterministic_tier,llm_score,llm_rationale,score_divergence,scores_aligned
L1075,tier1,60,"CEO of an AI/ML company with surging intent and competitor churn, but has Salesforce opt-out and DNC flags which require suppression or cautious handling.",30,true
L2161,tier2,50,Fractional CTO at a tiny AI/ML startup. Decision-maker title but low intent and small footprint.,5,true
L1781,tier2,45,"Head of ML is a great technical leadership title, but company and industry fields are completely empty.",10,true
L1238,tier3,5,Academic/Education domain with an 'Enthusiast' job title. Not a commercial cloud sales target.,15,true
L2317,tier3,10,PhD student using a freemail address. High internal intent score is likely academic research rather than a commercial deployment.,10,true
L2662,tier3,25,Missing job title at an AI company with low intent. Hard to justify sales outreach without knowing the contact's function.,5,true
L2497,tier1,88,SVP Engineering at a large software company showing expanded infra footprint and solid intent. Excellent tier1 sales candidate.,2,true
L2139,tier2,70,"CTO title with high surging intent and competitor churn signals, though company info is missing from the record.",15,true
L1779,tier2,82,Machine Learning Engineer with strong campaign engagement history (opened and responded) and medium-high intent signals.,27,true
L2365,tier3,15,Missing job title at a marketing company with low intent. Likely low relevance for GPU cloud infrastructure.,5,true
L1957,tier2,80,"Infrastructure Engineer at a mid-sized software company with surging intent, recent funding, and active ML hiring.",25,true
L1814,tier2,40,"Director of ML at LegalMind AI, but marked as unqualified in HubSpot with very low intent score.",15,true
L1835,tier2,90,"MLOps Engineer at an AI/ML software startup with extremely high intent (92), surging infrastructure footprint, and docs traffic.",35,false
L1830,tier3,30,"Social Media Manager at a software company. High intent and GPU spikes are present at the account level, but the individual lead is non-technical.",10,true
L2361,tier2,75,"Head of ML with high surging intent and pricing page visits, despite missing company metadata.",20,true
L1131,tier3,25,"Sales Development Rep role despite having an open opportunity and engagement history. Sales reps are typically gatekeepers or researchers, not buyers.",5,true
L1102,tier2,78,"SRE (Site Reliability Engineer) with high intent, pricing page visits, and surging signals at an AI/ML software company.",23,true
L2655,tier2,74,SWE at a small fine-tuning lab with positive campaign responses and pricing page interest.,19,true
L2243,tier2,76,"Backend Engineer at an AI/ML company with high surging intent, docs traffic, and GPU usage trials, despite being marked as churned previously in HubSpot.",21,true
L2867,tier2,35,"Data Scientist using a Yahoo freemail address with low intent, despite working at a small software company.",20,true
L2537,tier2,68,"Senior ML Engineer at an AI/ML software company with an open opportunity, though flagged with email opt-out and DNC.",13,true
L1756,tier2,70,Machine Learning Engineer at an AI/ML software company showing solid medium intent and hiring signals.,15,true
L2550,tier3,20,Product Marketing Manager in the automotive industry using a freemail address. High account intent is offset by non-technical role and industry mismatch.,0,true
L1944,tier3,15,"Accountant role at a logistics company. Although there are high intent signals, the job function has zero relevance to GPU infrastructure or AI models.",5,true
L2721,tier1,95,"Head of AI at a software company with surging high intent scores, docs traffic, and competitor churn signals. Excellent near-term sales opportunity.",5,true
L2249,tier2,40,"ML Engineer title is strong, but the lead has opted out of emails, has a DNC flag, and previously gave no response to pricing posts.",15,true
L2629,tier2,30,"Founder/CEO title normally indicates high potential, but the company is missing, email is opted out, and a DNC flag is present.",25,true
L1707,tier2,85,"Staff Engineer at a software company with strong intent signals including funding, pricing page visits, and GPU usage trial spikes.",30,true
L1177,tier3,45,"Head of AI is a great title, but the company is in the automotive sector and intent is moderate. Better suited for nurture.",25,true
L2041,tier3,20,Founder in construction using a freemail address. Low alignment with AI developer cloud infrastructure.,0,true
L2179,tier3,35,"Fractional CTO in healthcare. Potential tech buyer, but healthcare industry and moderate intent suggest a nurture path.",15,true
L1816,tier3,10,Social media manager at a software company. Non-technical role with virtually no intent signals.,10,true
L1772,tier3,25,PhD candidate with a freemail address and academic background. Likely using for research rather than commercial sales.,5,true
L1883,tier2,90,"CTO with high surging intent, GPU trial spikes, and funding. Excellent candidate despite missing firmographic details.",35,false
L1502,tier3,50,"VP Data & AI at a large enterprise with medium intent. Good title, but enterprise sales cycles might be longer.",30,true
L1840,tier3,20,"Consultant at a logistics company. Although they are an existing customer, the role is non-technical and intent is low.",0,true
L2412,tier2,88,"Infrastructure engineer with strong surging intent, GPU trial spikes, and documentation traffic. High near-term PLG opportunity.",33,false
L1165,tier2,55,"Owner at a software company. Ambiguous title, but tech industry and potential decision-making power give moderate upside.",0,true
L1882,tier3,10,Marketing manager in real estate. Completely outside the target persona for GPU infrastructure.,10,true
L2095,tier3,20,Business analyst using a freemail address with missing company info. High intent score is likely noise or personal exploration.,0,true
L2463,tier2,82,"Research engineer at an AI/ML software company with strong surging intent, funding, and ML hiring signals.",27,true
L1305,tier2,75,"Machine learning engineer with medium intent signals. Highly relevant technical role, though company details are sparse.",20,true
L2637,tier2,60,"Senior ML engineer at an AI startup, but marked as churned in HubSpot. Good technical fit worth re-engaging cautiously.",5,true
L2086,tier2,80,Senior software engineer at an AI/ML company with strong internal intent. Solid technical user for self-serve or PLG.,25,true
L1213,tier2,78,MLOps engineer at a software company with recent funding and increased docs traffic. Perfect operational persona for Runpod.,23,true
L2727,tier3,15,"Missing job title at a bakery. Despite some random ML hiring signals, this is clearly an unqualified lead or noise.",5,true
L1253,tier3,30,Product marketing manager at a large enterprise. Non-technical role with low intent.,10,true
L1366,tier1,85,Founder/CEO at an AI/ML software company. Core decision-maker profile for early-stage AI infrastructure sales.,5,true
L1741,tier3,30,Indie hacker at a university using an educational domain. Low intent and likely academic budget constraints.,10,true
L1132,tier2,70,"Founder at an AI domain company with GPU trial spikes. Marked as churned in HubSpot, which introduces some risk.",15,true
L2212,tier2,75,Computer vision engineer at a software company. Highly relevant technical role for heavy GPU workloads.,20,true
L1641,tier2,72,Data scientist using a freemail address with prior campaign engagement. Good technical fit for AI model training.,17,true
L2499,tier3,25,Student at a state university using a freemail address. Unlikely to be a commercial sales opportunity.,5,true
L1521,tier2,88,High intent score with strong surging signals including competitor churn and expanded infrastructure footprint. Staff Engineer title indicates strong technical relevance.,33,false
L2690,tier1,45,"Head of Engineering at an AI/ML company is typically high value, but previous lead status is Closed Lost and intent is currently low.",45,false
L2712,tier2,85,Research Scientist with a high intent score and trial spike signals. Excellent fit for product-led growth.,30,true
L2897,suppress,10,Explicitly identified as a competitor domain. Should remain suppressed despite technical title.,,true
L1860,tier3,5,Non-technical role in a construction company with explicit DNC and email opt-out flags.,15,true
L2093,tier3,30,Already an existing customer in a marketing agency with low intent. Unlikely to be a near-term expansion target for core GPU infrastructure.,10,true
L1223,tier1,92,SVP Engineering at a large AI/ML company with high surging intent and pricing page visits. Prime sales queue opportunity.,2,true
L2223,tier2,60,"Head of Platform with recent funding signal, but company size is missing and intent is low.",5,true
L2320,tier2,75,"Founder with high surging intent and GPU trial spike, though company size and industry data are sparse.",20,true
L1364,tier1,80,Director of Infrastructure at an AI/ML software company with solid intent signals.,10,true
L2901,tier3,15,Student status with freemail and unqualified HubSpot status. Low conversion probability.,5,true
L1486,tier3,25,"Content Writer role is non-technical, despite medium intent and ML hiring signals at the company.",5,true
L1081,tier3,20,Marketing Manager role in an AI company. Unlikely to make core infrastructure purchasing decisions.,0,true
L1587,tier2,65,"NLP Engineer is a strong technical IC role at a large software company, though intent is currently low.",10,true
L1845,tier2,70,Applied Scientist at an AI/ML software company. Good candidate for self-serve or nurture.,15,true
L1958,tier2,65,"VP of AI Infrastructure is a top-tier decision-maker title, but company metadata is completely missing.",10,true
L2343,tier3,30,Hobbyist title associated with an educational institute. Likely a self-serve or academic trial user.,10,true
L1179,tier3,25,Indie hacker on an academic domain with low intent signals.,5,true
L1877,tier3,40,"Project Manager role, but strong high-intent surging signals around pricing and funding. Could be worth light nurture.",20,true
L2208,tier3,35,"Financial Analyst at an AI company. Non-technical, though showing competitor churn intent.",15,true
L2180,tier3,10,Missing job title and company information makes qualification nearly impossible despite moderate intent.,10,true
L1033,tier2,72,DevOps Engineer at a software company. Highly relevant technical persona for infrastructure tooling.,17,true
L2470,tier2,68,Data Scientist at an AI/ML company. Good technical fit for model training and fine-tuning.,13,true
L1443,tier2,70,Founder/CEO title with a competitor churn signal. High potential despite unverified company size.,15,true
L1307,tier1,82,"VP of AI Infrastructure at a software company with strong intent. However, email opt-out and DNC flags present compliance risks.",8,true
L2044,tier3,20,Freelancer with freemail at an educational institution. Low conversion probability for enterprise sales.,0,true
L2111,tier3,50,"Managing Partner at a software company with strong surging intent and funding signals, though non-technical role.",30,true
L2830,tier3,25,Indie hacker on an academic domain. Previously engaged via docs-cta but churned/unqualified status.,5,true
L1012,tier3,20,Graduate student using freemail. High intent score likely reflects academic research rather than commercial deal potential.,0,true
L1501,tier3,30,"Technologist at an auto parts company. Moderate intent signals, but traditional industry limits AI infrastructure urgency.",10,true
L2597,tier3,25,"Executive assistant at a real estate firm, though showing intent signals like funding and docs traffic. Unlikely to be a core GPU infrastructure buyer.",5,true
L2881,tier2,40,"Independent consultant in software with low internal intent. Potentially relevant if advising on AI projects, but low near-term direct sales value.",15,true
L1854,tier3,5,"Undergraduate student at an academic institution with closed-lost history, email opt-out, and DNC flag. Strongly suppress.",15,true
L2097,tier2,45,Software engineer at an unverified company with low intent. Standard self-serve or early nurture prospect.,10,true
L1315,suppress,0,"Domain matches TensorHive, a direct competitor in GPU infrastructure. High intent signals likely reflect competitor research or benchmarking.",,true
L2091,tier3,15,"PhD candidate at an academic university. Existing customer record with past engagement, but academic usage typically aligns with self-serve or low commercial value.",5,true
L1678,tier3,10,Social media manager at an AI/ML software company. Non-technical role with minimal intent.,10,true
L1615,tier2,55,DevOps engineer at an AI/ML software company showing a GPU usage trial spike. Good candidate for self-serve adoption.,0,true
L1974,tier3,20,Executive assistant at an unspecified company with low intent. Unlikely decision-maker or end-user.,0,true
L2024,tier2,60,Deep learning engineer at a software company exhibiting a competitor tool churn signal. High technical relevance.,5,true
L1802,tier3,30,Freelancer with an academic email domain showing very high intent and competitor churn signals. High intent is tempered by academic/freelance profile.,10,true
L1703,tier2,50,"Senior software engineer using a personal gmail address. High technical fit, but personal email introduces identity resolution risks.",5,true
L1939,tier1,85,Founder/CEO at an AI/ML or software company with medium intent and infrastructure expansion signals. Strong top-tier sales lead.,5,true
L2222,tier3,35,"Enthusiast title at an AI/ML company with an open opportunity and qualified lead status in Salesforce. Title is ambiguous, but CRM history warrants attention.",15,true
L1134,tier3,40,"MS student at an academic institution showing high intent and GPU usage trial spikes. High technical interest, but academic status usually restricts enterprise sales potential.",20,true
L1212,tier3,45,"Head of Engineering at a food and beverage company with an open deal and email opt-out. Unlikely industry for heavy AI training, despite the title.",25,true
L1093,tier3,30,MS student at a university with medium intent and competitor churn signals. Likely academic research use case.,10,true
L2214,tier1,90,"VP of AI Infrastructure at an AI/ML software company with surging high intent and GPU trial spikes. Despite using a freemail address, profile is an ideal tier1 sales target.",0,true
L2445,tier2,55,Senior Data Scientist at a software company with medium intent and competitor churn signals. Solid technical IC target.,0,true
L2565,tier2,75,Platform engineer at a software company with maximum intent score (100) and infrastructure expansion signals. High potential despite freemail address.,20,true
L2389,tier3,50,Missing job title at an AI/ML software company with solid campaign engagement and medium intent. Worth nurturing.,30,true
L2129,tier2,70,Director of Platform Engineering at a small AI/ML software company. High decision-making relevance for infrastructure purchases.,15,true
L2259,tier1,80,Head of Engineering at a mid-sized software company with GPU usage trial spikes. Prime candidate for sales outreach.,10,true
L1128,tier2,75,"Platform engineer at an AI/ML startup with very high intent, surging signals, and competitor churn indicators. Excellent product-led growth target.",20,true
L1510,tier3,65,Head of ML at a logistics company with high intent and funding signals. Traditional enterprises building internal ML capabilities represent expansion opportunities.,45,false
L1684,tier2,70,VP Engineering at a software company with infrastructure expansion signals. Strong decision-maker profile.,15,true
L2671,tier2,60,"CTO at an unverified company using a freemail address. High seniority, but data verification is weak.",5,true
L2590,tier2,60,Applied Scientist at an AI/ML software company. Strong technical user fit for model training and fine-tuning.,5,true
L2160,tier3,25,"MS student listed with high campaign engagement, but student status and non-technical/academic alignment limit enterprise potential.",5,true
L1909,tier2,50,Software engineer using a personal iCloud email with medium intent signals from data infrastructure firm. Good technical IC target.,5,true
L1119,tier1,95,VP Engineering at an AI/ML software company with surging high intent and a GPU usage trial spike. Freemail is a minor risk but overwhelmingly qualified for sales outreach.,5,true
L1233,tier3,15,Financial analyst in a tiny AI/ML company with low intent and no compelling technical signals for GPU infrastructure.,5,true
L1613,tier2,60,"Head of MLOps is an ideal technical buyer for Runpod, but industry is missing and intent is low, warranting a moderate nurture stance.",5,true
L1384,tier3,10,VP Data & AI in healthcare (dental group) with low intent score. Unlikely to be a near-term GPU cloud infrastructure buyer.,10,true
L2856,tier3,5,Social Media Manager is completely non-technical and irrelevant for GPU cloud infrastructure sales.,15,true
L1745,tier3,55,"Independent consultant with surging high intent and ML hiring signals, though title is ambiguous and company is not explicitly software. Worth a closer look.",35,false
L1429,tier1,98,"CTO at a mid-sized AI/ML company showing strong surging intent, pricing page visits, and GPU usage trial spikes. Prime tier1 sales target.",8,true
L1142,tier2,45,"Advisor role with very low intent, though associated with an open deal in HubSpot. Moderate priority due to CRM context.",10,true
L2375,tier3,65,"Missing job title, but high surging intent, docs traffic, and infra expansion at an AI/ML company. Strong signals override missing title.",45,false
L1875,tier2,70,"Software engineer at an AI/ML company using freemail, but clicked a campaign and shows genuine interest. Good candidate for PLG/sales touch.",15,true
L1989,tier3,20,Closed-lost lead with missing title and low intent. Previously unresponsive to campaigns.,0,true
L1986,tier2,85,"MLOps Engineer at an AI/ML software company with surging high intent, recent funding, and ML hiring signals. Excellent target.",30,true
L1003,tier2,60,Infrastructure engineer at a software company with medium intent and recent funding. Good candidate for self-serve or light nurture.,5,true
L2300,tier2,75,ML Engineer with a critical competitor tool churn signal and hiring intent. Strong near-term sales opportunity.,20,true
L2518,tier3,40,"Marketing manager at a tiny AI/ML firm. High intent signals are present, but role is non-technical, making them a weaker direct infrastructure buyer.",20,true
L1478,tier2,65,"VP Engineering with a GPU usage trial spike, though industry is currently unverified. Strong title and trial activity warrant a close look.",10,true
L1340,tier3,30,"CTO at a construction company. Despite good engagement, industry alignment for AI cloud GPUs is weak outside of niche use cases.",10,true
L1052,tier2,75,Founder & CEO using freemail at a small data infrastructure/ML firm. High seniority outweighs freemail and missing firmographic details.,20,true
L1905,tier2,80,SRE at an AI/ML software company with an active open opportunity in Salesforce. Highly relevant technical buyer.,25,true
L1884,tier2,40,"Independent consultant with moderate internal intent score, but ambiguous role and lack of firm details limit near-term predictability.",15,true
L2530,tier2,85,Co-founder with an open deal in HubSpot and surging trial/docs traffic signals. Excellent target for direct sales outreach.,30,true
L1146,tier2,55,"Infrastructure engineer at an AI/ML software company. Relevant technical IC role, though intent score is currently low.",0,true
L2461,tier1,90,Head of Engineering at a software company. High seniority and technical decision-making power make this a strong tier1 sales prospect.,0,true
L1967,tier2,50,"Infrastructure engineer at an unverified company, but with campaign engagement. Moderate fit for self-serve/nurture.",5,true
L1584,tier2,88,"Senior Software Engineer with very high intent, ML hiring, and a competitor tool churn signal. Exceptional bottom-up PLG/sales opportunity.",33,false
L1283,tier2,85,"Staff engineer with surging intent, recent funding, GPU usage trial spike, and strong campaign engagement. Great technical champion.",30,true
L1161,tier3,,,,true
L1639,tier2,60,"Head of MLOps is a strong buyer title, but internal intent score is near zero and company data is sparse.",5,true
L1591,tier3,30,Closed-lost technical consultant at a non-technical company. Low intent score and historical churn outweigh the title.,10,true
L1324,tier2,82,Research Engineer at an AI/ML software company with high surging intent and infrastructure expansion signals. Ideal technical end-user.,27,true
L2532,tier3,25,"High intent signals and ML hiring, but missing job title and using a freemail address at an enterprise non-AI company. High risk of poor fit or low data fidelity.",5,true
L1309,tier3,15,"Senior technical title, but company is in Travel and intent is very low with a competitor churn signal. Unlikely to be a near-term GPU infrastructure buyer.",5,true
L1260,tier3,5,"Financial analyst in an AI/ML software company, but has explicitly opted out of emails, flagged with DNC, and marked as unqualified in HubSpot. Zero sales potential.",15,true
L2665,tier3,40,"Strong intent signals and technical role, but the company is in Landscaping (Services) and the contact is marked as churned in CRM. Likely an exploratory signup rather than a serious buyer.",20,true
L2399,tier2,65,Founder at a small software company with active engagement and funding signals. Good candidate for self-serve or light sales outreach.,10,true
L1915,tier2,55,Software engineer at an AI/ML company with moderate intent signals and GPU usage trial spike. Decent self-serve or PLG target.,0,true
L2433,tier3,10,Sales development rep with sparse firmographics and low intent. No alignment with GPU infrastructure needs.,10,true
L1676,tier3,75,"High intent score with surging signals and open CRM deal at a large AI/ML company, despite the missing job title.",55,false
L1947,tier1,80,"Head of MLOps at an AI/ML software company. Perfect persona match for Runpod, though intent is currently low.",10,true
L1150,tier1,85,VP of AI Infrastructure at an AI/ML software company with moderate intent and funding signals. Excellent high-value sales target.,5,true
L2474,tier2,50,"Fractional CTO already noted as a customer, showing moderate intent. Good candidate for expansion if infrastructure needs scale.",5,true
L2277,tier2,60,"MLOps engineer using a freemail address, but resolved to an AI/ML company with large footprint. Good technical fit for PLG.",5,true
L1785,tier1,95,VP of AI Infrastructure at an AI/ML-related software company with maximum internal intent score (99). Immediate sales priority.,5,true
L1396,tier3,30,"High intent and surging signals, but Principal at a Fitness studio. Likely irrelevant or anomalous usage.",10,true
L1520,tier1,85,Founder at an AI/ML software company. High authority buyer despite lower immediate intent score.,5,true
L1338,tier3,20,Using a proton.me freemail address at an education institution with missing job title. Low conversion potential.,0,true
L1264,tier2,70,"Software engineer at a small AI/ML startup using freemail, but showing very high surging intent signals and pricing page visits. Strong PLG candidate.",15,true
L2405,tier3,5,Social media manager at a beauty/salon business. Zero relevance to GPU infrastructure.,15,true
L1893,tier2,75,NLP Engineer with strong surging intent and ML hiring signals at a company with an unverifiable industry. Excellent technical fit.,20,true
L1643,tier2,60,Fractional CTO at a software company with moderate intent. Good target for self-serve or light evaluation.,5,true
L1156,tier3,35,Product Marketing Manager with very high intent signals at a travel company. Likely researching for market intel rather than infrastructure purchase.,15,true
L1651,tier2,65,Owner at an AI/ML software company with moderate intent. Decision-maker in the right industry.,10,true
L2796,tier3,5,Job title 'hacker' and freemail address 'qwerty123@gmail.com'. High probability of spam or fake signup.,15,true
L2763,tier3,10,"Office manager at an AI company, but has opted out of emails and is marked as DNC. No sales opportunity.",10,true
L2483,tier2,55,Platform engineer at an AI/ML startup with moderate signals. Standard technical PLG fit.,0,true
L1436,tier2,80,"Senior ML engineer at an AI/ML software company with high intent, competitor churn signals, and recent funding. Excellent target.",25,true
L2559,tier2,75,VP of Engineering at an AI/ML software company with solid intent signals. Strong sales outreach candidate.,20,true
L1082,tier3,25,Sales development rep at an enterprise company showing high intent. Likely conducting research rather than buying GPUs.,5,true
L2621,tier2,75,Computer Vision engineer at an AI/ML company with surging intent and trial spikes. Prime technical user for Runpod.,20,true
L2386,tier1,90,Head of Data Science at a large software company with very high intent and funding signals. Top-tier sales opportunity.,0,true
L2380,tier2,82,"Backend Engineer atOpsfleet (1000+ software company) with high intent score (86), surging signals including pricing page visits and doc traffic, plus active campaign engagement.",27,true
L1872,tier2,65,"MLOps Engineer at EmbedIQ in AI/ML software with medium intent. Strong technical fit for GPU cloud, though currently not surging.",10,true
L2035,tier2,10,Existing customer with opted-out email and DNC flag set. Not a near-term sales/PLG opportunity.,45,false
L2680,tier1,75,"Head of AI at a mid-sized AI/ML software company. Decision-maker title aligns well with sales queue, despite low current intent.",15,true
L2648,tier2,40,"Software Engineer with missing company and industry data. Low intent score, making it a speculative PLG lead.",15,true
L1447,tier3,20,Head of AI at a small marketing agency. Not core target industry for GPU infrastructure.,0,true
L1475,tier3,15,Head of Engineering at a small marketing agency. Low fit due to non-technical/non-core industry profile.,5,true
L1392,tier2,85,"Machine Learning Engineer at a large software enterprise showing high intent, surging activity, and competitor tool churn signal.",30,true
L1954,tier2,70,DevOps Engineer at a software company with a GPU usage trial spike and medium intent.,15,true
L1115,tier2,5,Closed-lost lead with SF/HubSpot email opt-outs and DNC flags set. Churned status.,50,false
L2000,tier2,80,"AI Engineer with highly surging intent (score 96), expanded infrastructure footprint, and docs traffic. Company data missing, but high intent makes it a strong PLG candidate.",25,true
L2722,tier2,78,"Applied Scientist showing strong intent, recent funding, GPU usage trial spike, and competitor tool churn signal.",23,true
L2293,tier2,50,Data Scientist at a small software company with low intent score and pricing page interest.,5,true
L1936,tier3,25,PhD candidate at an educational institution. High intent/surging signals likely academic research rather than near-term commercial sales opportunity.,5,true
L2254,tier3,15,Social media manager with a closed-lost status. Non-technical role despite high intent signals at the account level.,5,true
L1070,tier3,15,Managing partner at a very small software firm with low intent score.,5,true
L1560,tier3,10,HR manager using a freemail address. Non-technical role with low conversion potential.,10,true
L2014,tier3,15,"Recruiter role at LedgerWorks. Existing customer account, but recruiter persona is non-technical.",5,true
L2239,tier2,60,Computer Vision Engineer in software. Highly relevant technical persona for GPU infrastructure.,5,true
L1037,tier3,20,Financial analyst in a large software company. Non-technical role despite strong account intent signals.,0,true
L2054,tier3,10,Freelancer with sparse internal intent and missing company data.,10,true
L2260,tier2,75,Data Scientist at Vectorly AI. Already a Sales Qualified Lead in progress with positive engagement history.,20,true
L2551,tier3,10,Sales Development Representative. Non-technical role.,10,true
L1629,tier2,70,"Owner at Corticon AI (AI/ML software). Uses freemail, but high intent, surging signals, and company size make this worth examining.",15,true
L1224,tier3,25,"VP of AI Infrastructure at a marketing agency. Senior title, but poor industry alignment.",5,true
L1574,tier2,55,"SRE with missing company profile, but technical relevance gives moderate potential.",0,true
L1406,tier3,15,Accountant at Shipmate. Non-technical role.,5,true
L1809,tier3,20,Freelancer at a state university. Academic context reduces commercial sales potential.,0,true
L1120,tier3,25,PhD Candidate at Central Polytechnic. Academic domain with moderate intent.,5,true
L2733,tier3,10,HR Manager at Inferra Labs. Non-technical role.,10,true
L1144,tier3,15,"Recruiter role at a non-tech company (Quantum Nails Salon), despite high intent signals which are likely noise or unrelated to GPU infrastructure.",5,true
L1154,tier1,85,Head of Data Science at an AI/ML software company showing active intent signals including pricing page visits and GPU usage trial spikes.,5,true
L1923,tier2,45,"Machine Learning Engineer at a large software company, but intent score is low with only basic documentation traffic.",10,true
L2197,tier2,72,"Software Engineer at a mid-sized software company with high surging intent, recent funding, and active ML hiring signals.",17,true
L1022,tier3,5,Business Analyst in logistics with minimal intent. Completely misaligned with GPU cloud infrastructure buyers.,15,true
L2099,tier3,60,VP Data & AI at an AI/ML software company showing pricing page visits and infrastructure expansion. Rules engine misclassified due to missing company size.,40,false
L1512,tier1,30,"VP of AI Infrastructure with high intent, but has an active opt-out, DNC flag, and uses a personal freemail address.",60,false
L1007,tier3,10,HR Manager at a landscaping company who is an existing customer. No relevance to AI infrastructure purchasing.,10,true
L1042,tier3,40,"VP Data & AI at an automotive company showing a GPU usage trial spike, indicating some isolated technical interest despite the traditional industry.",20,true
L2084,tier2,75,"Senior Data Scientist at an AI health company with high surging intent, strong docs traffic, and ML hiring signals.",20,true
L2307,tier3,20,Indie hacker using a freemail address at an educational institution. Low conversion probability for enterprise sales.,0,true
L1896,tier2,65,Applied Scientist at an AI/ML software company with prior campaign engagement history.,10,true
L2298,tier2,90,"AI Engineer at an AI software company showing maximum intent score, competitor tool churn signals, and funding round activity.",35,false
L2464,tier3,15,Account Executive at an AI company. Non-technical go-to-market role unlikely to purchase developer infrastructure.,5,true
L1387,tier2,55,"Staff Engineer at a large software company with competitor churn intent signals, though overall intent score is low.",0,true
L2401,tier3,25,Graduate student at an institute of technology using freemail. Likely evaluating for academic or personal use rather than enterprise deployment.,5,true
L1558,tier3,10,"Operations Manager with missing company and industry details, showing minimal intent.",10,true
L2754,tier1,80,Director of Machine Learning at a software company with strong intent and competitor churn signals.,10,true
L1391,tier2,50,"Machine Learning Engineer with missing company data, but holds a highly relevant technical title.",5,true
L2638,tier3,12,Social Media Manager at a software company. Non-technical persona with low intent.,8,true
L2493,tier2,45,"Staff Engineer with missing company firmographics, but strong technical profile and ML hiring interest.",10,true
L1136,tier3,35,"Freelancer at an educational institution with high internal intent score, but ambiguous role and entity type.",15,true
L2717,tier2,68,"Research Scientist showing active GPU trial spikes and ML hiring intent. Rules engine tiered as tier2, but high intent makes this a strong candidate.",13,true
L2394,tier1,88,"Head of MLOps at an AI/ML software company showing high surging intent, pricing page visits, and infrastructure expansion.",2,true
L2814,tier2,78,"Deep Learning Engineer at a surging AI/ML startup with high intent scores, pricing visits, and trial spikes.",23,true
L2408,tier2,62,Platform Engineer at an enterprise company with an open deal in HubSpot and active pricing page visits.,7,true
L1474,tier3,40,"Missing job title at an AI/ML software company with an open opportunity and active campaign response, but flagged for email opt-out and DNC.",20,true
L2036,tier3,25,"Missing job title at a university. Moderate intent signals for infrastructure footprint expansion, but likely academic.",5,true
L2720,tier2,70,"Software Engineer at an AI/ML startup with an active CRM opportunity in progress, despite using freemail.",15,true
L2683,tier2,65,Machine Learning Engineer at an AI software company showing documentation traffic and strong technical alignment.,10,true
L2182,tier3,30,"Non-technical sales role at a tiny company, though showing some intent signals around pricing and docs. Low likelihood of being a direct technical buyer or influencer.",10,true
L2432,tier2,55,"Existing customer with an AI Engineer title, but low intent and unverifiable industry. Solid product-led growth fit but low immediate sales urgency.",0,true
L1624,tier2,75,MLOps engineer at a software company displaying a competitor tool churn signal and medium intent. Excellent technical fit for GPU infrastructure.,20,true
L1704,tier3,25,"Non-technical role in Travel with a GPU usage trial spike. Likely internal evaluation or misassigned usage, poor sales fit.",5,true
L1410,tier2,65,"Computer Vision Engineer at a large software company. Highly technical role with great potential, though low intent score pulls it down slightly.",10,true
L1017,tier3,40,"Content writer at a marketing agency with high surging intent and funding. While high intent, the role is non-technical, making direct GPU sales conversion unlikely.",20,true
L2172,tier2,60,Backend engineer at an unverified company with hiring signals for ML roles. Good technical fit for infrastructure consumption.,5,true
L1087,tier3,20,Software engineer in healthcare (dental group). Unlikely to be a heavy AI model trainer or fine-tuner compared to dedicated tech companies.,0,true
L1049,tier2,80,VP of Engineering with high surging intent and competitor churn signals. Missing company profile is offset by strong leadership title and high intent.,25,true
L1424,tier3,15,Accountant at an AI company. Non-technical role with zero purchasing influence for GPU infrastructure despite company domain.,5,true
L1317,tier3,10,Hobbyist user with an academic .edu domain. Existing customer but education cohort usually indicates self-serve or academic trial use rather than enterprise sales.,10,true
L2418,tier3,35,"Project manager with extremely high surging intent and competitor churn signals. Strong account-level intent, but the individual title is non-technical.",15,true
L1174,tier2,75,Software engineer at an AI/ML software company using freemail with high surging intent. Strong signal for infrastructure demand despite freemail usage.,20,true
L2358,tier2,50,Independent consultant with high surging intent and pricing page visits. Churned CRM status indicates past interaction; potential self-serve re-engagement.,5,true
L2549,tier3,5,Undergraduate student using freemail with no company and low intent. Minimal sales value.,15,true
L2557,tier2,85,Infrastructure engineer at an AI/ML software company with high intent and an open deal in HubSpot. Prime target for sales engagement.,30,true
L2279,tier2,90,"Director of Machine Learning at an AI/ML startup with high intent, funding, and pricing page visits. Excellent enterprise sales target.",35,false
L2220,tier2,50,DevOps engineer at an unverified company with low intent. Standard technical IC profile with moderate potential.,5,true
L2586,tier2,65,AI Engineer at a software company. Solid technical IC profile for GPU infrastructure needs.,10,true
L1653,tier1,95,"Founder/CEO at an AI/ML software company with active engagement, customer status, and strong fit. Top-tier target.",5,true
L1793,tier2,70,"Principal at a software company with an open opportunity in Salesforce. Strong account activity, though title is slightly ambiguous.",15,true
L2891,tier3,60,"Head of Machine Learning at a marketing agency. Decision-maker title and AI focus, but the company industry is non-core for heavy AI infrastructure.",40,false
L2114,tier2,55,"Senior Software Engineer at a large software company. Solid technical profile, but low intent score indicates cold status.",0,true
L2333,tier2,85,"Founder/CEO at an AI/ML software company. Decision-maker with existing customer relationship, though low current intent.",30,true
L2790,suppress,0,CEO at 'My Company' with placeholder data and disposable/invalid indicators. Clearly spam or test lead.,,true
L2177,tier2,60,Senior Software Engineer at a large software company. Standard technical IC profile.,5,true
L2454,tier2,60,"Research Engineer at an AI/ML software company using freemail. Strong technical fit, though identity resolution failed.",5,true
